ocorrencia_classificacao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_tipo,ocorrencia_tipo_categoria,taxonomia_tipo_icao,recomendacao_numero,recomendacao_dia_assinatura,recomendacao_dia_encaminhamento,recomendacao_dia_feedback,recomendacao_conteudo,recomendacao_status,recomendacao_destinatario_sigla,recomendacao_destinatario,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total,fator_nome,fator_aspecto,fator_condicionante,fator_area
INCIDENTE GRAVE,-9.868333333333,-67.89805555555,RIO BRANCO,AC,BRASIL,SBRB,14/04/2022,17:45:00,SIM,FINALIZADA,IG-047/CENIPA/2022,SIM,2023-04-17,1,1,NÃO,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA,SCF-NP,IG-047/CENIPA/2022 - 01,2023-04-17,2023-04-25,,"Atuar junto à empresa Rio Branco Aerotáxi Ltda., a fim de que aquele operador aprimore o Sistema de Gerenciamento de Segurança Operacional (SGSO) adotado, sobretudo no que diz respeito aos mecanismos de supervisão gerencial e gerenciamento de risco de suas operações.",AGUARDANDO RESPOSTA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTOCW,AVIÃO,EMBRAER,EMB-110P1,E110,TURBOÉLICE,BIMOTOR,5670,5670,20.0,1980.0,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,SANTA ROSA DO PURUS,PLÁCIDO DE CASTRO,APROXIMAÇÃO FINAL,TÁXI AÉREO,NENHUM,0,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
ACIDENTE,-12.20416666666,-56.23777777777,IPIRANGA DO NORTE,MT,BRASIL,Fora de aerodromo,24/03/2022,19:30:00,SIM,FINALIZADA,A-038/CENIPA/2022,SIM,2023-03-23,1,1,NÃO,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,LALT,A-038/CENIPA/2022 - 01,2023-03-23,2023-04-10,,"Atuar junto à empresa G2 Aeroagrícola Ltda., a fim de revisar o processo relativo ao GRSO previsto no seu MGSO e promover a segurança operacional entre seus pilotos, de modo a mitigar os riscos da operação de forma proativa.",AGUARDANDO RESPOSTA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTGUD,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1980.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,AGRÍCOLA,SUBSTANCIAL,0,ATENÇÃO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO
ACIDENTE,-12.20416666666,-56.23777777777,IPIRANGA DO NORTE,MT,BRASIL,Fora de aerodromo,24/03/2022,19:30:00,SIM,FINALIZADA,A-038/CENIPA/2022,SIM,2023-03-23,1,1,NÃO,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,LALT,A-038/CENIPA/2022 - 01,2023-03-23,2023-04-10,,"Atuar junto à empresa G2 Aeroagrícola Ltda., a fim de revisar o processo relativo ao GRSO previsto no seu MGSO e promover a segurança operacional entre seus pilotos, de modo a mitigar os riscos da operação de forma proativa.",AGUARDANDO RESPOSTA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTGUD,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1980.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,AGRÍCOLA,SUBSTANCIAL,0,ATITUDE,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO
ACIDENTE,-12.20416666666,-56.23777777777,IPIRANGA DO NORTE,MT,BRASIL,Fora de aerodromo,24/03/2022,19:30:00,SIM,FINALIZADA,A-038/CENIPA/2022,SIM,2023-03-23,1,1,NÃO,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,LALT,A-038/CENIPA/2022 - 01,2023-03-23,2023-04-10,,"Atuar junto à empresa G2 Aeroagrícola Ltda., a fim de revisar o processo relativo ao GRSO previsto no seu MGSO e promover a segurança operacional entre seus pilotos, de modo a mitigar os riscos da operação de forma proativa.",AGUARDANDO RESPOSTA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTGUD,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1980.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,AGRÍCOLA,SUBSTANCIAL,0,JULGAMENTO DE PILOTAGEM,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
ACIDENTE,-12.20416666666,-56.23777777777,IPIRANGA DO NORTE,MT,BRASIL,Fora de aerodromo,24/03/2022,19:30:00,SIM,FINALIZADA,A-038/CENIPA/2022,SIM,2023-03-23,1,1,NÃO,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,LALT,A-038/CENIPA/2022 - 01,2023-03-23,2023-04-10,,"Atuar junto à empresa G2 Aeroagrícola Ltda., a fim de revisar o processo relativo ao GRSO previsto no seu MGSO e promover a segurança operacional entre seus pilotos, de modo a mitigar os riscos da operação de forma proativa.",AGUARDANDO RESPOSTA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTGUD,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1980.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,AGRÍCOLA,SUBSTANCIAL,0,PERCEPÇÃO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO
ACIDENTE,-12.20416666666,-56.23777777777,IPIRANGA DO NORTE,MT,BRASIL,Fora de aerodromo,24/03/2022,19:30:00,SIM,FINALIZADA,A-038/CENIPA/2022,SIM,2023-03-23,1,1,NÃO,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,LALT,A-038/CENIPA/2022 - 01,2023-03-23,2023-04-10,,"Atuar junto à empresa G2 Aeroagrícola Ltda., a fim de revisar o processo relativo ao GRSO previsto no seu MGSO e promover a segurança operacional entre seus pilotos, de modo a mitigar os riscos da operação de forma proativa.",AGUARDANDO RESPOSTA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTGUD,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1980.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,AGRÍCOLA,SUBSTANCIAL,0,PLANEJAMENTO DE VOO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
ACIDENTE,-12.20416666666,-56.23777777777,IPIRANGA DO NORTE,MT,BRASIL,Fora de aerodromo,24/03/2022,19:30:00,SIM,FINALIZADA,A-038/CENIPA/2022,SIM,2023-03-23,1,1,NÃO,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,LALT,A-038/CENIPA/2022 - 01,2023-03-23,2023-04-10,,"Atuar junto à empresa G2 Aeroagrícola Ltda., a fim de revisar o processo relativo ao GRSO previsto no seu MGSO e promover a segurança operacional entre seus pilotos, de modo a mitigar os riscos da operação de forma proativa.",AGUARDANDO RESPOSTA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTGUD,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1980.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,AGRÍCOLA,SUBSTANCIAL,0,POUCA EXPERIÊNCIA DO PILOTO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
ACIDENTE,-12.20416666666,-56.23777777777,IPIRANGA DO NORTE,MT,BRASIL,Fora de aerodromo,24/03/2022,19:30:00,SIM,FINALIZADA,A-038/CENIPA/2022,SIM,2023-03-23,1,1,NÃO,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,LALT,A-038/CENIPA/2022 - 01,2023-03-23,2023-04-10,,"Atuar junto à empresa G2 Aeroagrícola Ltda., a fim de revisar o processo relativo ao GRSO previsto no seu MGSO e promover a segurança operacional entre seus pilotos, de modo a mitigar os riscos da operação de forma proativa.",AGUARDANDO RESPOSTA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTGUD,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1980.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,AGRÍCOLA,SUBSTANCIAL,0,PROCESSO DECISÓRIO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO
ACIDENTE,-12.20416666666,-56.23777777777,IPIRANGA DO NORTE,MT,BRASIL,Fora de aerodromo,24/03/2022,19:30:00,SIM,FINALIZADA,A-038/CENIPA/2022,SIM,2023-03-23,1,1,NÃO,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,LALT,A-038/CENIPA/2022 - 01,2023-03-23,2023-04-10,,"Atuar junto à empresa G2 Aeroagrícola Ltda., a fim de revisar o processo relativo ao GRSO previsto no seu MGSO e promover a segurança operacional entre seus pilotos, de modo a mitigar os riscos da operação de forma proativa.",AGUARDANDO RESPOSTA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTGUD,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1980.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,AGRÍCOLA,SUBSTANCIAL,0,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
ACIDENTE,-19.19833333333,-45.01166666666,POMPÉU,MG,BRASIL,SNPO,13/03/2022,15:00:00,SIM,FINALIZADA,A-032/CENIPA/2022,SIM,2023-05-31,1,1,SIM,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,A-032/CENIPA/2022 - 01,2023-05-31,2023-05-31,2023-06-02,"Divulgar os ensinamentos contidos nesta investigação aos Centros de Instrução de Aviação Civil (CIAC), no sentido de recomendar a inclusão/reforço no seu programa de instrução, enfatizando a importância da reciclagem e manutenção do conhecimento teórico da aeronave.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTUNT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2002.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,TENENTE XAVIER,TENENTE XAVIER,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,APLICAÇÃO DE COMANDOS,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
ACIDENTE,-19.19833333333,-45.01166666666,POMPÉU,MG,BRASIL,SNPO,13/03/2022,15:00:00,SIM,FINALIZADA,A-032/CENIPA/2022,SIM,2023-05-31,1,1,SIM,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,A-032/CENIPA/2022 - 01,2023-05-31,2023-05-31,2023-06-02,"Divulgar os ensinamentos contidos nesta investigação aos Centros de Instrução de Aviação Civil (CIAC), no sentido de recomendar a inclusão/reforço no seu programa de instrução, enfatizando a importância da reciclagem e manutenção do conhecimento teórico da aeronave.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTUNT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2002.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,TENENTE XAVIER,TENENTE XAVIER,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,ATITUDE,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO
ACIDENTE,-19.19833333333,-45.01166666666,POMPÉU,MG,BRASIL,SNPO,13/03/2022,15:00:00,SIM,FINALIZADA,A-032/CENIPA/2022,SIM,2023-05-31,1,1,SIM,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,A-032/CENIPA/2022 - 01,2023-05-31,2023-05-31,2023-06-02,"Divulgar os ensinamentos contidos nesta investigação aos Centros de Instrução de Aviação Civil (CIAC), no sentido de recomendar a inclusão/reforço no seu programa de instrução, enfatizando a importância da reciclagem e manutenção do conhecimento teórico da aeronave.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTUNT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2002.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,TENENTE XAVIER,TENENTE XAVIER,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,CAPACITAÇÃO E TREINAMENTO,ASPECTO PSICOLÓGICO,ORGANIZACIONAL,FATOR HUMANO
ACIDENTE,-19.19833333333,-45.01166666666,POMPÉU,MG,BRASIL,SNPO,13/03/2022,15:00:00,SIM,FINALIZADA,A-032/CENIPA/2022,SIM,2023-05-31,1,1,SIM,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,A-032/CENIPA/2022 - 01,2023-05-31,2023-05-31,2023-06-02,"Divulgar os ensinamentos contidos nesta investigação aos Centros de Instrução de Aviação Civil (CIAC), no sentido de recomendar a inclusão/reforço no seu programa de instrução, enfatizando a importância da reciclagem e manutenção do conhecimento teórico da aeronave.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTUNT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2002.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,TENENTE XAVIER,TENENTE XAVIER,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,CULTURA DO GRUPO DE TRABALHO,ASPECTO PSICOLÓGICO,PSICOSSOCIAL,FATOR HUMANO
ACIDENTE,-19.19833333333,-45.01166666666,POMPÉU,MG,BRASIL,SNPO,13/03/2022,15:00:00,SIM,FINALIZADA,A-032/CENIPA/2022,SIM,2023-05-31,1,1,SIM,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,A-032/CENIPA/2022 - 01,2023-05-31,2023-05-31,2023-06-02,"Divulgar os ensinamentos contidos nesta investigação aos Centros de Instrução de Aviação Civil (CIAC), no sentido de recomendar a inclusão/reforço no seu programa de instrução, enfatizando a importância da reciclagem e manutenção do conhecimento teórico da aeronave.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTUNT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2002.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,TENENTE XAVIER,TENENTE XAVIER,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,JULGAMENTO DE PILOTAGEM,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
ACIDENTE,-19.19833333333,-45.01166666666,POMPÉU,MG,BRASIL,SNPO,13/03/2022,15:00:00,SIM,FINALIZADA,A-032/CENIPA/2022,SIM,2023-05-31,1,1,SIM,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,A-032/CENIPA/2022 - 01,2023-05-31,2023-05-31,2023-06-02,"Divulgar os ensinamentos contidos nesta investigação aos Centros de Instrução de Aviação Civil (CIAC), no sentido de recomendar a inclusão/reforço no seu programa de instrução, enfatizando a importância da reciclagem e manutenção do conhecimento teórico da aeronave.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTUNT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2002.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,TENENTE XAVIER,TENENTE XAVIER,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,PROCESSO DECISÓRIO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO
ACIDENTE,-19.19833333333,-45.01166666666,POMPÉU,MG,BRASIL,SNPO,13/03/2022,15:00:00,SIM,FINALIZADA,A-032/CENIPA/2022,SIM,2023-05-31,1,1,SIM,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,A-032/CENIPA/2022 - 01,2023-05-31,2023-05-31,2023-06-02,"Divulgar os ensinamentos contidos nesta investigação aos Centros de Instrução de Aviação Civil (CIAC), no sentido de recomendar a inclusão/reforço no seu programa de instrução, enfatizando a importância da reciclagem e manutenção do conhecimento teórico da aeronave.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTUNT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2002.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,TENENTE XAVIER,TENENTE XAVIER,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
ACIDENTE,-19.19833333333,-45.01166666666,POMPÉU,MG,BRASIL,SNPO,13/03/2022,15:00:00,SIM,FINALIZADA,A-032/CENIPA/2022,SIM,2023-05-31,1,1,SIM,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,A-032/CENIPA/2022 - 01,2023-05-31,2023-05-31,2023-06-02,"Divulgar os ensinamentos contidos nesta investigação aos Centros de Instrução de Aviação Civil (CIAC), no sentido de recomendar a inclusão/reforço no seu programa de instrução, enfatizando a importância da reciclagem e manutenção do conhecimento teórico da aeronave.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTUNT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2002.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,TENENTE XAVIER,TENENTE XAVIER,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,APLICAÇÃO DE COMANDOS,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
ACIDENTE,-19.19833333333,-45.01166666666,POMPÉU,MG,BRASIL,SNPO,13/03/2022,15:00:00,SIM,FINALIZADA,A-032/CENIPA/2022,SIM,2023-05-31,1,1,SIM,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,A-032/CENIPA/2022 - 01,2023-05-31,2023-05-31,2023-06-02,"Divulgar os ensinamentos contidos nesta investigação aos Centros de Instrução de Aviação Civil (CIAC), no sentido de recomendar a inclusão/reforço no seu programa de instrução, enfatizando a importância da reciclagem e manutenção do conhecimento teórico da aeronave.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTUNT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2002.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,TENENTE XAVIER,TENENTE XAVIER,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,ATITUDE,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO
ACIDENTE,-19.19833333333,-45.01166666666,POMPÉU,MG,BRASIL,SNPO,13/03/2022,15:00:00,SIM,FINALIZADA,A-032/CENIPA/2022,SIM,2023-05-31,1,1,SIM,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,A-032/CENIPA/2022 - 01,2023-05-31,2023-05-31,2023-06-02,"Divulgar os ensinamentos contidos nesta investigação aos Centros de Instrução de Aviação Civil (CIAC), no sentido de recomendar a inclusão/reforço no seu programa de instrução, enfatizando a importância da reciclagem e manutenção do conhecimento teórico da aeronave.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTUNT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2002.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,TENENTE XAVIER,TENENTE XAVIER,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,CAPACITAÇÃO E TREINAMENTO,ASPECTO PSICOLÓGICO,ORGANIZACIONAL,FATOR HUMANO
ACIDENTE,-19.19833333333,-45.01166666666,POMPÉU,MG,BRASIL,SNPO,13/03/2022,15:00:00,SIM,FINALIZADA,A-032/CENIPA/2022,SIM,2023-05-31,1,1,SIM,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,A-032/CENIPA/2022 - 01,2023-05-31,2023-05-31,2023-06-02,"Divulgar os ensinamentos contidos nesta investigação aos Centros de Instrução de Aviação Civil (CIAC), no sentido de recomendar a inclusão/reforço no seu programa de instrução, enfatizando a importância da reciclagem e manutenção do conhecimento teórico da aeronave.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTUNT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2002.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,TENENTE XAVIER,TENENTE XAVIER,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,CULTURA DO GRUPO DE TRABALHO,ASPECTO PSICOLÓGICO,PSICOSSOCIAL,FATOR HUMANO
ACIDENTE,-19.19833333333,-45.01166666666,POMPÉU,MG,BRASIL,SNPO,13/03/2022,15:00:00,SIM,FINALIZADA,A-032/CENIPA/2022,SIM,2023-05-31,1,1,SIM,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,A-032/CENIPA/2022 - 01,2023-05-31,2023-05-31,2023-06-02,"Divulgar os ensinamentos contidos nesta investigação aos Centros de Instrução de Aviação Civil (CIAC), no sentido de recomendar a inclusão/reforço no seu programa de instrução, enfatizando a importância da reciclagem e manutenção do conhecimento teórico da aeronave.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTUNT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2002.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,TENENTE XAVIER,TENENTE XAVIER,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,JULGAMENTO DE PILOTAGEM,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
ACIDENTE,-19.19833333333,-45.01166666666,POMPÉU,MG,BRASIL,SNPO,13/03/2022,15:00:00,SIM,FINALIZADA,A-032/CENIPA/2022,SIM,2023-05-31,1,1,SIM,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,A-032/CENIPA/2022 - 01,2023-05-31,2023-05-31,2023-06-02,"Divulgar os ensinamentos contidos nesta investigação aos Centros de Instrução de Aviação Civil (CIAC), no sentido de recomendar a inclusão/reforço no seu programa de instrução, enfatizando a importância da reciclagem e manutenção do conhecimento teórico da aeronave.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTUNT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2002.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,TENENTE XAVIER,TENENTE XAVIER,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,PROCESSO DECISÓRIO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO
ACIDENTE,-19.19833333333,-45.01166666666,POMPÉU,MG,BRASIL,SNPO,13/03/2022,15:00:00,SIM,FINALIZADA,A-032/CENIPA/2022,SIM,2023-05-31,1,1,SIM,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,A-032/CENIPA/2022 - 01,2023-05-31,2023-05-31,2023-06-02,"Divulgar os ensinamentos contidos nesta investigação aos Centros de Instrução de Aviação Civil (CIAC), no sentido de recomendar a inclusão/reforço no seu programa de instrução, enfatizando a importância da reciclagem e manutenção do conhecimento teórico da aeronave.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,PTUNT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2002.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,TENENTE XAVIER,TENENTE XAVIER,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL
